"Optioneel gebruikersveld, geen invloed op kritische functionaliteit","Verplicht gebruikersveld, dient ingevuld te zijn maar geen invloed op kritische functionaliteit","Verplicht systeemveld, dient exact ingevuld te zijn om data te kunnen verwerken",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Verplicht gebruikersveld, bevat een naam of code van het apparaat ","Optioneel gebruikersveld, bevat extra informatie over het apparaat","Optioneel gebruikersveld, bevat de EPSG:4326 latitude coordinaat van het apparaat","Optioneel gebruikersveld, bevat de EPSG:4326 longitude coordinaat van het apparaat","Optioneel gebruikersveld, geen betekenis","Optioneel gebruikersveld, bevat het verwachte zendinterval van het apparaat","Verplicht systeemveld voor LoRaWAN apparaten, bevat de DEVICE EUI ","Optioneel gebruikersveld, bevat de installatie datum in yyyy-mm-dd","Optioneel gebruikersveld, bevat de firmware versie van het apparaat","Optioneel gebruikersveld, bevat het serie nummer van de MFM Hoofdprintplaat","Optioneel gebruikersveld, bevat de putcode van de peilbuis waarbij apparaat is gemonteerd","Optioneel gebruikersveld, bevat de putcode van de peilbuis waarin de sensor is gemonteerd","Optioneel gebruikersveld, bevat het filternummer waarin de sensor is gemonteerd","Optioneel gebruikersveld, bevat het serienummer van de sensormodule","Optioneel gebruikersveld, bevat de firmware versie van de sensormodule","Verplicht gebruikersveld, bevat een naam voor de sensor","Optioneel gebruikersveld, bevat het merk of type sensor","Optioneel gebruikersveld, bevat extra informatie over de sensor","Verplicht systeemveld, bevat de identificatie naam zoals opgegeven in het Worker Script voor het matchen van binnenkomende data","Optioneel gebruikersveld, bevat het serienummer van de sensor","Optioneel gebruikersveld, bevat de totale kabel lengte van de sensor. Opgegeven in meters","Optioneel gebruikersveld, bevat de ophanghoogte/diepte van de sensor in het filter. Opgegeven in meters"
device code,device description,device latitude,device longitude,device altitude,device properties interval,device properties dev_eui,device properties installation_date,device properties firmware_version,device properties serial_no,device properties veldcode,sensor properties veldcode,sensor properties filter,sensor properties module_serial_no,sensor properties firmware_version,sensor code,sensor brand,sensor description,sensor external_id,sensor properties serial_no,sensor properties cable_length,sensor properties depth
B42E0043,Haamstede Lagezoom,51.7129164873744,3.75817051777838,,3600,0080E115054465E1,2024-08-27,0.2.04,24230020,B42E0043,,,,,multiflexmeter,Multiflexmeter,De MFM Hoofdprintplaat,multiflexmeter,,,
,,,,,,,,,,,,,,,antenna,RF Solutions ANT-PUKDB,De antenna voor signaal informatie,antenna,,,
,,,,,,,,,,,B42E0043,1,24230011,0.6A,keller_1_1,Keller PR-26X,Keller Module 1 Slot 1,keller_1_1,1668273,4,3.5
,,,,,,,,,,,B42E0043,3,24230011,0.6A,keller_1_2,Keller PR-26X,Keller Module 1 Slot 2,keller_1_2,1668279,4,3.5
,,,,,,,,,,,B42E0043,4,24230030,0.6A,keller_2_1,Keller PR-26X,Keller Module 2 Slot 1,keller_2_1,1668331,4,3.5
B42E0274,Haamstede Kloosterweg,51.71086448999048,3.7245268595709473,,3600,0080E11505446570,2024-08-28,0.2.04,24230037,B42E0274,,,,,multiflexmeter,Multiflexmeter,De MFM Hoofdprintplaat,multiflexmeter,,,
,,,,,,,,,,,,,,,antenna,RF Solutions ANT-PUKDB,De antenna voor signaal informatie,antenna,,,
,,,,,,,,,,,B42E0274,1,24230013,0.6A,keller_1_1,Keller PR-26X,Keller Module 1 Slot 1,keller_1_1,1668249,4,3.5
,,,,,,,,,,,B42E0274,3,24230013,0.6A,keller_1_2,Keller PR-26X,Keller Module 1 Slot 2,keller_1_2,1668565,4,3.5
