     device code,                          device description,device latitude,device longitude,device altitude,  device properties dev_eui, sensor code,      sensor brand,           sensor description,           sensor external_id
D49C10000000405A,Provincie Zeeland SensorBox for NO2 OX PM RV,              0,               0,               ,           D49C10000000405A,         Air,        AlphaSense,Temperature pressure humidity,                         prht
                ,                                            ,               ,                ,               ,                           ,          PM,         Sensirion,           Particulate Matter,                        sps30
                ,                                            ,               ,                ,               ,                           ,          OX,        AlphaSense,                    OX sensor,                       oxb431
                ,                                            ,               ,                ,               ,                           ,         NO2,        AlphaSense,                   NO2 sensor,                      no2b43f
                ,                                            ,               ,                ,               ,                           ,     Antenna,          Lynx WRT,                      Antenna,                      antenna
D49C10000000405B,Provincie Zeeland SensorBox for NO2 OX PM RV,              0,               0,               ,           D49C10000000405B,         Air,        AlphaSense,Temperature pressure humidity,                         prht
                ,                                            ,               ,                ,               ,                           ,          PM,         Sensirion,           Particulate Matter,                        sps30
                ,                                            ,               ,                ,               ,                           ,          OX,        AlphaSense,                    OX sensor,                       oxb431
                ,                                            ,               ,                ,               ,                           ,         NO2,        AlphaSense,                   NO2 sensor,                      no2b43f
                ,                                            ,               ,                ,               ,                           ,     Antenna,          Lynx WRT,                      Antenna,                      antenna
D49C10000000405C,Provincie Zeeland SensorBox for NO2 OX PM RV,              0,               0,               ,           D49C10000000405C,         Air,        AlphaSense,Temperature pressure humidity,                         prht
                ,                                            ,               ,                ,               ,                           ,          PM,         Sensirion,           Particulate Matter,                        sps30
                ,                                            ,               ,                ,               ,                           ,          OX,        AlphaSense,                    OX sensor,                       oxb431
                ,                                            ,               ,                ,               ,                           ,         NO2,        AlphaSense,                   NO2 sensor,                      no2b43f
                ,                                            ,               ,                ,               ,                           ,     Antenna,          Lynx WRT,                      Antenna,                      antenna
D49C10000000405D,Provincie Zeeland SensorBox for NO2 OX PM RV,              0,               0,               ,           D49C10000000405D,         Air,        AlphaSense,Temperature pressure humidity,                         prht
                ,                                            ,               ,                ,               ,                           ,          PM,         Sensirion,           Particulate Matter,                        sps30
